"ensembl_gene_id","entrezgene","gene_name","description","biotype","baseMean","log2FoldChange","fold_change","pvalue","padj","12475_WT","12409_WT","12408_WT","12406_KO","12403_KO","12401_KO","12329_KO","12287_WT","12281_KO","12280_WT"
"ENSMUSG00000067279",53412,"Ppp1r3c","protein phosphatase 1, regulatory (inhibitor) subunit 3C ","protein_coding",1091.03140882366,-2.83257509075498,0.140381517487745,4.30537111963025e-106,6.95403543242678e-102,1999,2767,2708,20,21,36,30,1736,49,1544
"ENSMUSG00000087579",NA,"1500017E21Rik","RIKEN cDNA 1500017E21 gene ","processed_transcript",133.753765481691,1.96328486840956,3.89948842390563,2.28329033975671e-51,1.84398527838752e-47,11,12,8,198,205,327,194,3,372,9
"ENSMUSG00000033207",71738,"Mamdc2","MAM domain containing 2 ","protein_coding",81.1293937117182,1.22410860697491,2.33611064646106,1.91250325037332e-21,1.029691750001e-17,33,33,22,103,96,180,156,33,130,25
"ENSMUSG00000056999",15925,"Ide","insulin degrading enzyme ","protein_coding",1734.66910239972,-0.861939959524572,0.550212202325245,3.64576348574406e-16,1.47215929554345e-12,2387,2579,2399,1231,1214,1108,1117,2646,876,1790
"ENSMUSG00000036585",14164,"Fgf1","fibroblast growth factor 1 ","protein_coding",780.85940161844,0.683090750264204,1.6055757702534,9.17886842091916e-08,0.000296514165469372,371,430,405,1963,1313,1261,1080,321,385,280
"ENSMUSG00000060224",74580,"Pyroxd2","pyridine nucleotide-disulphide oxidoreductase domain 2 ","protein_coding",55.6839983156039,0.682645686561408,1.60508053510951,1.49625010269582e-07,0.000402790527645715,26,21,54,71,81,85,92,13,82,33
"ENSMUSG00000059422",NA,"Gm8116","predicted gene 8116 ","processed_pseudogene",28.1648161455548,0.613840774187522,1.53032786292457,3.29234976267796e-07,0.000759686190953919,21,8,8,33,22,58,47,6,71,8
"ENSMUSG00000051599",93873,"Pcdhb2","protocadherin beta 2 ","protein_coding",74.7015193075728,-0.563561744017718,0.676629628081887,1.42124596769507e-06,0.00286949560877634,75,91,87,51,53,57,60,111,54,110
"ENSMUSG00000091230",NA,"Gm6970","predicted gene 6970 ","protein_coding",13.8548313590906,-0.606949256742724,0.656583656024605,1.87629016985603e-06,0.00336731542483495,22,24,18,7,5,8,7,15,8,26
"ENSMUSG00000054237",70567,"Fra10ac1","FRA10AC1 homolog (human) ","protein_coding",283.727750253316,-0.416719184784324,0.749126267659381,9.13314490772025e-06,0.0147518556549498,350,327,321,247,183,245,264,343,242,316
"ENSMUSG00000063687",93876,"Pcdhb5","protocadherin beta 5 ","protein_coding",211.322386735238,-0.371581375971464,0.772934798106354,1.12293614643148e-05,0.016488786033783,244,219,239,177,185,183,191,252,166,256
"ENSMUSG00000023348",22051,"Trip6","thyroid hormone receptor interactor 6 ","protein_coding",123.044937651544,0.429058778408312,1.34635492147007,1.47116353728734e-05,0.0176013162778537,98,96,112,132,134,149,150,102,161,98
"ENSMUSG00000097785",NA,"B230217O12Rik","RIKEN cDNA B230217O12 gene ","lincRNA",177.693859609349,-0.54506823724418,0.685358985303179,1.50787211513551e-05,0.0176013162778537,174,159,330,61,61,189,79,311,74,338
"ENSMUSG00000028749",26971,"Pla2g2f","phospholipase A2, group IIF ","protein_coding",32.5047440741764,0.451124065453532,1.36710501192909,1.56713364250957e-05,0.0176013162778537,4,23,2,67,33,99,53,14,26,4
"ENSMUSG00000063434",66673,"Sorcs3","sortilin-related VPS10 domain containing receptor 3 ","protein_coding",1098.7359278305,-0.459127346190703,0.727426129331364,1.63459475091509e-05,0.0176013162778537,1348,1274,1226,926,1044,782,1001,1278,645,1463
